Label,x,y,z
1938,98.614342,50.770527,160.072037
1939,98.614342,50.770527,160.086334
1940,98.617378,50.772282,154.165298
1941,98.617424,50.772308,154.118668
1942,98.618019,50.772655,153.598404
1943,98.617645,50.772434,153.921097
1944,98.618057,50.772678,153.578842
1945,98.618172,50.772743,153.499542
1946,98.61763,50.77243,153.954865
1947,98.617531,50.772377,154.029312
1948,98.61705,50.772095,154.480988
1949,98.617134,50.772141,154.411438
1950,98.616547,50.771805,155.0009
1951,98.616577,50.77182,154.967224
1952,98.616821,50.771961,154.705612
1953,98.616669,50.77187,154.869629
1954,98.616608,50.771835,154.933899
1955,98.616898,50.772003,154.620102
1956,98.616974,50.772049,154.550552
1957,98.616547,50.771801,154.998505
1958,98.616486,50.771759,155.063141
1959,98.618279,50.772808,153.420242
1960,98.618202,50.772766,153.482437
1961,98.618599,50.772999,153.172867
1962,98.61837,50.772858,153.35408
1963,98.617653,50.772449,153.936722
1964,98.617683,50.772472,153.908401
1965,98.618004,50.772655,153.63826
1966,98.617805,50.772537,153.80632
1967,98.617722,50.772484,153.880417
1968,98.618607,50.773006,153.164383
1969,98.618668,50.773037,153.124115
1970,98.618355,50.772861,153.359314
1971,98.618317,50.772831,153.398376
1972,98.618721,50.773071,153.083847
1973,98.618774,50.773102,153.043594
1974,98.618469,50.772919,153.281219
1975,98.618408,50.772892,153.320267
1976,98.618111,50.772717,153.557037
1977,98.618164,50.772747,153.519196
1978,98.617867,50.772579,153.757538
1979,98.617821,50.772552,153.794159
1980,98.618019,50.772659,153.63269
1981,98.618065,50.77269,153.594864
1982,98.617783,50.772522,153.83075
1983,98.617737,50.772499,153.867371
1984,98.617462,50.772343,154.102386
1985,98.617508,50.772369,154.066986
1986,98.617256,50.772217,154.303589
1987,98.617218,50.772194,154.337738
1988,98.617546,50.772392,154.031601
1989,98.617584,50.772415,153.996216
1990,98.617325,50.772255,154.235245
1991,98.617287,50.772236,154.269409
1992,98.61692,50.77203,154.62146
1993,98.616753,50.771927,154.791245
1994,98.617065,50.772114,154.473236
1995,98.616951,50.772041,154.594589
1996,98.616966,50.772049,154.573441
1997,98.617004,50.772072,154.540497
1998,98.61676,50.771935,154.777771
1999,98.61673,50.771915,154.809479
2000,98.617065,50.772106,154.473083
2001,98.617104,50.772125,154.442093
2002,98.617378,50.772289,154.176193
2003,98.61721,50.772186,154.342239
2004,98.617386,50.772297,154.173187
2005,98.617432,50.772316,154.137787
2006,98.617172,50.772171,154.371902
2007,98.617134,50.772152,154.406067
2008,98.616898,50.772011,154.639297
2009,98.616928,50.77203,154.606369
2010,98.616699,50.771896,154.841156
2011,98.616669,50.771881,154.872864
2012,98.616837,50.771969,154.70517
2013,98.616867,50.771988,154.672241
2014,98.616638,50.771858,154.904556
2015,98.616608,50.771839,154.936249
2016,98.616402,50.771721,155.167664
2017,98.616425,50.771736,155.137207
2018,98.616226,50.771618,155.370178
2019,98.616196,50.771599,155.399384
2020,98.616455,50.771751,155.10675
2021,98.616486,50.771767,155.076294
2022,98.61628,50.771645,155.311752
2023,98.616249,50.771633,155.340973
2024,98.615982,50.771469,155.679291
2025,98.616089,50.771534,155.540955
2026,98.616112,50.771549,155.503677
2027,98.615868,50.771408,155.818527
2028,98.615845,50.771393,155.854126
2029,98.616013,50.771492,155.631439
2030,98.616028,50.771507,155.603485
2031,98.61586,50.7714,155.837112
2032,98.615829,50.771385,155.863815
2033,98.616425,50.771729,155.149277
2034,98.616547,50.771805,155.011398
2035,98.616577,50.771832,154.970779
2036,98.616295,50.771664,155.28804
2037,98.616264,50.771637,155.326996
2038,98.616562,50.77182,154.984924
2039,98.616592,50.771835,154.954468
2040,98.616371,50.771709,155.194916
2041,98.616348,50.771694,155.224136
2042,98.61615,50.771576,155.463684
2043,98.616165,50.771587,155.435715
2044,98.615967,50.771473,155.676865
2045,98.615952,50.771461,155.703568
2046,98.616104,50.771545,155.519592
2047,98.616127,50.771561,155.491638
2048,98.615929,50.77145,155.730286
2049,98.615906,50.771439,155.756989
2050,98.615738,50.771336,155.99472
