Label,x,y,z,xNorm,yNorm,zNorm,Area
57,120.994835,50.357986,35.303677,0.409468,0.90993900000000005,0.065923999999999996,14.746442
58,120.293976,50.421909,38.875557,0.36710599999999999,0.92862,0.053834,14.620245
59,119.642021,50.479225,42.444256,0.326818,0.94410099999999997,0.043159000000000003,14.709518
60,119.037209,50.530273,46.028889,0.28890399999999999,0.95675600000000005,0.033942,14.801632
61,118.481766,50.575081,49.623146,0.25380399999999997,0.96689999999999998,0.026209,14.887507
62,117.976067,50.61385,53.224606,0.22175300000000001,0.97489999999999999,0.019893999999999998,14.996217
63,117.518867,50.646973,56.834991,0.192799,0.98112600000000005,0.014860999999999999,15.121964
64,117.108215,50.674889,60.45578,0.166882,0.98591600000000001,0.010939000000000001,15.259303
65,116.741562,50.69809,64.088089,0.14386399999999999,0.98956599999999995,0.0079520000000000007,15.403292
66,116.41597,50.717079,67.732643,0.123555,0.99232100000000001,0.0057260000000000002,15.549577
67,116.128288,50.732368,71.389801,0.105736,0.99438599999999999,0.0040980000000000001,15.694519
68,115.875244,50.74445,75.059509,0.090173000000000003,0.99592199999999997,0.0029320000000000001,15.835095
69,115.653549,50.753784,78.74144,0.076635999999999996,0.99705699999999997,0.0021159999999999998,15.969135
70,115.46006,50.760796,82.434998,0.064898999999999998,0.99789099999999997,0.001554,16.094872
71,115.291779,50.765873,86.139366,0.054757,0.99849900000000003,0.001178,16.211312
72,115.145905,50.769363,89.853638,0.046015,0.99894000000000005,0.00092900000000000003,16.317794
73,115.021774,50.771545,93.511215,0.038614000000000002,0.99925399999999998,0.00076999999999999996,15.835429
74,114.91629,50.77272,97.119949,0.032351999999999999,0.99947600000000003,0.00066799999999999997,15.996589
75,114.82486,50.773151,100.753021,0.026945,0.999637,0.00059900000000000003,16.146669
76,114.745956,50.773006,104.408783,0.022294999999999999,0.99975099999999995,0.00055000000000000003,16.28492
77,114.678192,50.772438,108.085457,0.018311000000000001,0.99983200000000005,0.00051000000000000004,16.410837
78,114.620277,50.771599,111.781128,0.014914,0.99988900000000003,0.000473,16.524077
79,114.571045,50.770584,115.49379,0.012031999999999999,0.99992800000000004,0.00043300000000000001,16.624473
80,114.529472,50.769501,119.221359,0.0096010000000000002,0.99995400000000001,0.00038999999999999999,16.711746
81,114.494583,50.768444,122.961655,0.0075630000000000003,0.99997100000000005,0.000339,16.78563
82,114.465569,50.767479,126.712387,0.005868,0.99998299999999996,0.000281,16.845481
83,114.441933,50.766678,130.413376,0.0044879999999999998,0.99999000000000005,0.00021699999999999999,16.372843
84,114.422668,50.766087,134.10968,0.0033649999999999999,0.99999400000000005,0.000146,16.831286
85,114.406723,50.765732,137.906708,0.0024350000000000001,0.99999700000000002,6.7000000000000002e-05,17.300408
86,114.394028,50.765667,141.712585,0.001696,0.99999899999999997,-1.9000000000000001e-05,16.928429
87,114.384239,50.765923,145.4758,0.0011280000000000001,0.99999899999999997,-0.00010900000000000001,16.930042
88,114.37677,50.766514,149.238007,0.000696,1.0,-0.000203,16.927821
89,115.870628,50.76709,153.630966,0.00024699999999999999,1.0,-0.00046099999999999998,4.225035
90,112.87027,50.768223,153.619186,0.00024600000000000002,1.0,-0.000144,4.234839
91,114.372009,50.767277,152.371933,0.00051199999999999998,1.0,-0.00030200000000000002,8.459594
92,113.240273,50.769909,159.230347,5.1e-05,1.0,-0.00043100000000000001,6.610888
93,115.490387,50.769794,159.23201,5.1e-05,1.0,-0.00051000000000000004,6.603387
94,115.492722,50.768402,156.32309,0.000175,1.0,-0.000446,6.487833
95,113.242462,50.768791,156.3181,0.000175,1.0,-0.00033399999999999999,6.4953
96,126.075203,53.212727,2.718274,0.75596300000000005,0.60445700000000002,0.251301,17.775566
97,125.001297,53.076744,6.297482,0.72690200000000005,0.64305699999999999,0.24102199999999999,16.703418
98,123.962654,52.943638,9.811625,0.69530800000000004,0.68106900000000004,0.229548,16.178818
99,122.936081,52.810406,13.350099,0.66050600000000004,0.71888600000000002,0.21664700000000001,16.064815
100,121.922379,52.677071,16.924608,0.62252200000000002,0.75598900000000002,0.20235500000000001,15.742154
101,120.934113,52.545204,20.507925,0.58199500000000004,0.79140900000000003,0.18695999999999999,15.482966
102,119.956398,52.412693,24.176781,0.53857699999999997,0.82516800000000001,0.17038900000000001,15.920615
103,119.006546,52.281834,27.888155,0.49340800000000001,0.85620300000000005,0.15318300000000001,15.401616
104,118.117851,52.157234,31.531979,0.44873600000000002,0.88321099999999997,0.13628599999999999,15.023995
105,117.288292,52.038788,35.125931,0.405223,0.90630200000000005,0.120043,14.77472
106,116.515854,51.926384,38.687702,0.36342099999999999,0.92571899999999996,0.104731,14.642867
107,115.796036,51.819553,42.248177,0.32362000000000002,0.94184800000000002,0.090508000000000005,14.728619
108,115.126991,51.718193,45.826435,0.28613,0.95504999999999995,0.077521000000000007,14.818912
109,114.511337,51.622898,49.416134,0.25140099999999999,0.96563500000000002,0.065923999999999996,14.904444
110,113.9496,51.534004,53.014793,0.21967400000000001,0.97397800000000001,0.055764000000000001,15.013981
111,113.440598,51.451576,56.624043,0.19100600000000001,0.98046299999999997,0.047,15.141445
112,112.982315,51.375595,60.245209,0.16534199999999999,0.98544399999999999,0.039531999999999998,15.28107
113,112.57209,51.305923,63.879295,0.14254900000000001,0.98923000000000005,0.033235000000000001,15.427624
114,112.206856,51.242348,67.526886,0.12243800000000001,0.99208200000000002,0.027959999999999999,15.576539
115,111.883255,51.184582,71.188187,0.104793,0.99421499999999996,0.023563000000000001,15.724041
116,111.597771,51.13232,74.863022,0.089382000000000003,0.99579799999999996,0.019906,15.867009
117,111.346931,51.085205,78.550903,0.075976000000000002,0.99696700000000005,0.016865999999999999,16.003169
118,111.127304,51.042873,82.251106,0.064352999999999994,0.99782400000000004,0.014334,16.130821
119,110.935684,51.004967,85.962738,0.054306,0.99844999999999995,0.012218,16.248832
120,110.76902,50.97113,89.684769,0.045645999999999999,0.99890299999999999,0.010442999999999999,16.356678
121,110.626724,50.941505,93.350342,0.038311999999999999,0.99922599999999995,0.0089669999999999993,15.873943
122,110.505379,50.915596,96.967285,0.032106000000000003,0.99945499999999998,0.007731,16.03609
123,110.399841,50.892509,100.608833,0.026747,0.99961999999999995,0.0066629999999999997,16.186969
124,110.308449,50.872036,104.273323,0.022135999999999999,0.99973900000000004,0.005738,16.325834
125,110.229691,50.853977,107.958885,0.018186000000000001,0.99982199999999999,0.0049309999999999996,16.452219
126,110.162125,50.83815,111.663582,0.014815999999999999,0.99988100000000002,0.0042220000000000001,16.565802
127,110.104523,50.824371,115.385376,0.011955,0.99992199999999998,0.0035980000000000001,16.666391
128,110.055725,50.812492,119.122147,0.0095409999999999991,0.99995000000000001,0.003045,16.753756
129,110.014671,50.802357,122.871689,0.0075180000000000004,0.99996799999999997,0.002552,16.827611
130,109.980453,50.793816,126.631653,0.0058349999999999999,0.99998100000000001,0.0021120000000000002,16.887337
131,109.952553,50.786842,130.341721,0.0044650000000000002,0.99998900000000002,0.0017210000000000001,16.413245
132,109.92984,50.781216,134.047058,0.003349,0.99999300000000002,0.0013699999999999999,16.872458
133,109.911095,50.776684,137.853302,0.0024239999999999999,0.99999700000000002,0.001044,17.34234
134,109.896271,50.773293,141.668335,0.001688,0.99999800000000005,0.00074799999999999997,16.969067
135,109.88501,50.770988,145.440521,0.0011230000000000001,0.99999899999999997,0.00048099999999999998,16.970228
136,109.876625,50.769642,149.211578,0.00069399999999999996,1.0,0.00023800000000000001,16.967528
137,111.370056,50.768589,153.614746,0.00024499999999999999,1.0,-0.000144,4.234824
138,108.36969,50.769726,153.602982,0.00024499999999999999,1.0,0.000174,4.244659
139,109.871483,50.769176,152.352829,0.00051099999999999995,1.0,1.5999999999999999e-05,8.479235
140,108.740051,50.770138,159.227005,5.1e-05,1.0,-0.00027500000000000002,6.625925
