ITEM NAME,VARIABLE,MIN,MAX,AVG,RMS,STDDEV
925,Uy,-0.286783154,0.094452403,-0.127248102,0.148334328,0.076229872
925,Uz,-1.31400524,2.32187325,-0.083667068,0.731112505,0.726309381
925,UMag,0.826263055,2.495639406,1.23178141,1.269661819,0.307824123
925,p,-61.5062893,-34.9372711,-47.55076911,48.05504392,6.943457596
926,Ux,-0.760190578,0.289955063,-0.142714778,0.232030263,0.182949542
926,Uy,0.017187476,0.031427916,0.023437369,0.02362298,0.002955491
926,Uz,-1.20370733,3.376245,0.519470349,1.044293286,0.905924403
926,UMag,0.02344951,3.405600583,0.737406358,1.07002082,0.775355672
926,p,-63.2256051,-35.6532871,-49.39482841,49.84700899,6.698897794
927,Ux,2.73036554,6.47678905,4.08150681,4.167591664,0.842687627
927,Uy,-0.131733878,-0.054783924,-0.080163455,0.081831751,0.016439462
927,Uz,-3.83419043,-2.31451933,-3.197826594,3.214069144,0.322715877
927,UMag,4.238639647,6.886651751,5.225917119,5.263625858,0.628925626
927,p,-63.4211012,-36.2108098,-49.76819176,50.15579127,6.22338222
928,Ux,-1.55086913,0.855073038,-0.428837437,0.57434293,0.38205792
928,Uy,-0.065806228,0.033341684,-0.015837781,0.022789852,0.016387252
928,Uz,-1.40041176,3.67216077,0.371498873,0.796740807,0.704829413
928,UMag,0.054937369,3.674720753,0.779607331,0.982438341,0.597827319
928,p,-81.5761252,-52.7539318,-63.58437506,63.95250601,6.85202699
929,Ux,-2.03665995,2.49726101,0.595959361,1.118319095,0.946292786
929,Uy,-0.164444977,0.120136031,-0.092143476,0.100722287,0.040676269
929,Uz,0.120606146,2.94878094,1.427585139,1.568729078,0.650316531
929,UMag,0.167438078,3.759772898,1.770576975,1.929169121,0.765996522
929,p,-80.8631369,-49.2523357,-63.92399126,64.45299575,8.240873946
930,Ux,-1.54447206,0.927422238,-0.519250976,0.773918161,0.573870843
930,Uy,-0.077379466,0.194180502,0.062791644,0.091605611,0.066699307
930,Uz,-2.29682079,5.0711518,1.593335776,2.108801988,1.381422068
930,UMag,0.446136607,5.074910513,2.086873685,2.248196328,0.83626847
930,p,-91.3683057,-51.9209233,-66.27041373,66.74103737,7.911910799
931,Ux,-0.804171204,0.635371733,0.008082632,0.229702384,0.229560136
931,Uy,0.051079372,0.268619134,0.174907091,0.179157304,0.038792385
931,Uz,-3.21131732,2.4010311,-0.708313688,1.476097801,1.295050747
931,UMag,0.088065568,3.217909143,1.247301775,1.504568125,0.841405685
931,p,-74.5593477,-38.7474404,-56.70159698,57.19125964,7.467869812
932,Ux,1.26337871,2.15374719,1.702140736,1.711746288,0.181086362
932,Uy,-0.13851124,0.057034258,-0.066455887,0.075727411,0.036307794
932,Uz,-4.36189228,-1.29768856,-2.801028863,2.855469972,0.55492889
932,UMag,2.001075616,4.732588934,3.293698169,3.330092905,0.490989947
932,p,-72.6777579,-41.4403689,-58.0122274,58.41755769,6.869681062
933,Ux,2.20142394,2.88333103,2.532056955,2.536592313,0.151618394
933,Uy,-0.310209517,-0.18478752,-0.242258405,0.243942789,0.028617299
933,Uz,-3.0763746,-1.79644279,-2.478986612,2.495939316,0.290410823
933,UMag,2.90916873,4.099911367,3.558984787,3.567004586,0.239058571
933,p,-75.0741212,-47.7240418,-62.08011285,62.38218499,6.131606037
934,Ux,4.10903869,6.84689938,5.474272212,5.508256617,0.610929384
934,Uy,-0.662265731,-0.465337682,-0.585612933,0.587291338,0.044369011
934,Uz,-1.15222748,0.509211014,-0.525892787,0.643248619,0.370412693
934,UMag,4.284778812,6.891050964,5.545828935,5.576698922,0.585962697
934,p,-81.6628362,-57.1808353,-69.77796938,69.99092073,5.455636818
935,Ux,-0.878783226,1.79654757,0.543831931,0.739196621,0.500658041
935,Uy,-0.43385053,0.162366767,-0.128949006,0.181318538,0.127469863
